k_dimension,max_absolute_error,max_relative_error
256,0,0.0
512,0,0.0
768,1,0.00621118
1024,2,0.00775194
1280,2,0.00714286
1536,2,0.00581395
1792,2,0.00495049
2048,4,0.00796813
2304,4,0.0075188
2560,4,0.00671141
2816,8,0.0116279
3072,8,0.0105263
3328,8,0.00961538
3584,8,0.00938967
3840,8,0.00873362
4096,12,0.0116279
4352,8,0.00775194
4608,8,0.00740741
4864,16,0.0135135
5120,16,0.012987
5376,16,0.0123457
5632,16,0.0118343
5888,16,0.0112994
6144,24,0.0157068
6400,16,0.0104712
6656,16,0.0102041
6912,24,0.0143541
7168,24,0.0138889
7424,24,0.0133333
7680,24,0.0128755
7936,24,0.0123967
8192,32,0.0155039
8448,32,0.0153846
8704,32,0.0151515
8960,32,0.0147059
9216,32,0.0143885
9472,32,0.013986
9728,48,0.0197368
9984,48,0.0192308
10240,48,0.0188679
10496,48,0.0185185
10752,48,0.0181818
11008,48,0.0177515
11264,48,0.0175439
11520,48,0.0170455
11776,48,0.0167598
12032,48,0.0163934
12288,64,0.0209424
12544,64,0.0205128
12800,64,0.020202
13056,64,0.019802
13312,64,0.0197044
13568,64,0.0193237
13824,64,0.0189573
14080,64,0.0185185
14336,64,0.0180995
14592,64,0.0179372
14848,64,0.0176211
15104,64,0.0173913
15360,80,0.0210084
15616,80,0.0204918
15872,80,0.0205761
16128,80,0.0201613
16384,80,0.0198413
16640,96,0.0232558
16896,96,0.0229008
17152,96,0.0227273
17408,96,0.0223881
17664,96,0.0220588
17920,96,0.0217391
18176,96,0.0215827
18432,96,0.0212766
18688,96,0.020979
18944,128,0.0272109
19200,128,0.0266667
19456,128,0.0263158
19712,128,0.0263158
19968,128,0.025974
20224,128,0.0254777
20480,128,0.0253165
20736,160,0.0310559
20992,128,0.025
21248,128,0.0243902
21504,160,0.0299401
21760,160,0.0297619
22016,160,0.0287356
22272,160,0.0290698
22528,160,0.0284091
22784,160,0.0282486
23040,160,0.0282486
23296,160,0.0276243
23552,192,0.0327869
23808,160,0.027027
24064,160,0.0268817
24320,192,0.031746
24576,192,0.0310881
24832,160,0.026178
25088,192,0.0307692
25344,192,0.0306122
25600,192,0.030303
25856,160,0.025
26112,192,0.029703
26368,224,0.0338164
26624,192,0.0291262
26880,224,0.0333333
27136,224,0.0334928
27392,192,0.028436
27648,224,0.0325581
27904,224,0.0319635
28160,224,0.0319635
28416,224,0.0318182
28672,224,0.0313901
28928,224,0.0313901
29184,224,0.0309735
29440,224,0.030837
29696,224,0.0305677
29952,256,0.0340426
30208,224,0.0299145
30464,256,0.0340426
30720,256,0.0330578
30976,288,0.0371901
31232,256,0.033195
31488,256,0.0329218
31744,256,0.0326531
32000,256,0.032
32256,288,0.0357143
32512,320,0.0395257
