K_Value,JIT_GFLOPS
2,20.1864
6,46.6429
10,63.3372
14,75.2006
18,83.9375
22,90.9344
26,95.8515
30,100.082
34,103.525
38,106.937
42,108.787
46,110.943
50,113.117
54,114.894
58,116.618
62,117.24
66,118.986
70,120.151
74,121.275
78,122.2
82,122.54
86,123.666
90,124.409
94,125.009
98,125.5
102,125.888
106,125.718
110,126.787
114,127.342
118,127.439
122,127.356
126,126.923
130,127.385
134,127.988
138,128.502
142,129.339
146,129.071
150,128.918
154,130.638
158,129.801
162,129.93
166,130.063
170,130.444
174,130.843
178,130.801
182,130.937
186,131.297
190,131.271
194,131.562
198,131.159
202,131.378
206,131.4
210,131.337
214,131.442
218,131.11
222,131.855
226,131.981
230,132.554
234,132.292
238,132.661
242,132.902
246,131.956
250,132.752
254,132.31
258,132.898
262,132.683
266,132.338
270,131.699
274,132.055
278,131.092
282,131.088
286,131.66
290,131.195
294,131.129
298,131.075
302,130.96
306,130.514
310,130.626
314,130.362
318,130.206
322,129.765
326,130.07
330,130.133
334,130.081
338,129.991
342,130.066
346,129.989
350,129.747
354,129.845
358,129.977
362,129.89
366,129.801
370,129.307
374,129.586
378,129.66
382,129.369
386,129.659
390,129.94
394,129.257
398,129.706
402,129.258
406,129.647
410,129.574
414,130.177
418,129.889
422,130.43
426,129.675
430,130.289
434,129.359
438,129.516
442,129.804
446,129.674
450,129.547
454,129.238
458,128.759
462,129.045
466,129.599
470,128.312
474,129.087
478,130.639
482,129.458
486,129.52
490,129.226
494,129.033
498,129.118
502,128.892
506,128.174
510,129.111
