Einsum,Dimensions,K_Value,Dtype,Torch_GFLOPS,JIT_GFLOPS
"km,nk->nm","4,256,256",4,BF16,8.47135,31.3221
"km,nk->nm","8,256,256",8,BF16,16.7179,55.9645
"km,nk->nm","12,256,256",12,BF16,22.1598,75.9988
"km,nk->nm","16,256,256",16,BF16,27.5509,92.0264
"km,nk->nm","20,256,256",20,BF16,33.9742,104.745
"km,nk->nm","24,256,256",24,BF16,39.1013,115.149
"km,nk->nm","28,256,256",28,BF16,44.8406,125.726
"km,nk->nm","32,256,256",32,BF16,48.7689,134.698
"km,nk->nm","36,256,256",36,BF16,54.3829,142.309
"km,nk->nm","40,256,256",40,BF16,57.6226,148.952
"km,nk->nm","44,256,256",44,BF16,58.9859,155.955
"km,nk->nm","48,256,256",48,BF16,55.1947,161.342
"km,nk->nm","52,256,256",52,BF16,66.5692,165.192
"km,nk->nm","56,256,256",56,BF16,58.2378,170.435
"km,nk->nm","60,256,256",60,BF16,70.2049,175.46
"km,nk->nm","64,256,256",64,BF16,74.8343,177.348
"km,nk->nm","68,256,256",68,BF16,79.4218,182.22
"km,nk->nm","72,256,256",72,BF16,79.3468,184.203
"km,nk->nm","76,256,256",76,BF16,82.6463,188.047
"km,nk->nm","80,256,256",80,BF16,87.515,190.284
"km,nk->nm","84,256,256",84,BF16,87.5641,192.84
"km,nk->nm","88,256,256",88,BF16,90.642,195.285
"km,nk->nm","92,256,256",92,BF16,91.2717,198.519
"km,nk->nm","96,256,256",96,BF16,93.6564,199.317
"km,nk->nm","100,256,256",100,BF16,95.2622,201.33
"km,nk->nm","104,256,256",104,BF16,94.9204,201.829
"km,nk->nm","108,256,256",108,BF16,97.3329,204.793
"km,nk->nm","112,256,256",112,BF16,98.7584,207.301
"km,nk->nm","116,256,256",116,BF16,98.053,207.123
"km,nk->nm","120,256,256",120,BF16,101.741,209.328
"km,nk->nm","124,256,256",124,BF16,102.802,211.382
"km,nk->nm","128,256,256",128,BF16,101.073,207.741
"km,nk->nm","132,256,256",132,BF16,105.566,211.952
"km,nk->nm","136,256,256",136,BF16,104.601,214.574
"km,nk->nm","140,256,256",140,BF16,94.2416,213.639
"km,nk->nm","144,256,256",144,BF16,96.3552,212.576
"km,nk->nm","148,256,256",148,BF16,96.1163,215.491
"km,nk->nm","152,256,256",152,BF16,97.3448,217.479
"km,nk->nm","156,256,256",156,BF16,97.8462,215.525
"km,nk->nm","160,256,256",160,BF16,99.0613,218.453
"km,nk->nm","164,256,256",164,BF16,100.293,219.928
"km,nk->nm","168,256,256",168,BF16,101.67,218.298
"km,nk->nm","172,256,256",172,BF16,101.418,221.547
"km,nk->nm","176,256,256",176,BF16,102.216,222.261
"km,nk->nm","180,256,256",180,BF16,103.757,219.409
"km,nk->nm","184,256,256",184,BF16,106.814,223.147
"km,nk->nm","188,256,256",188,BF16,108.285,223.232
"km,nk->nm","192,256,256",192,BF16,108.353,216.963
"km,nk->nm","196,256,256",196,BF16,106.809,224.709
"km,nk->nm","200,256,256",200,BF16,110.675,225.216
"km,nk->nm","204,256,256",204,BF16,116.536,224.252
"km,nk->nm","208,256,256",208,BF16,109.602,227.21
"km,nk->nm","212,256,256",212,BF16,112.023,225.218
"km,nk->nm","216,256,256",216,BF16,106.18,227.462
"km,nk->nm","220,256,256",220,BF16,114.298,225.963
"km,nk->nm","224,256,256",224,BF16,114.573,222.973
"km,nk->nm","228,256,256",228,BF16,107.594,228.816
"km,nk->nm","232,256,256",232,BF16,120.76,226.903
"km,nk->nm","236,256,256",236,BF16,117.886,227.267
"km,nk->nm","240,256,256",240,BF16,114.018,227.226
"km,nk->nm","244,256,256",244,BF16,118.901,226.46
"km,nk->nm","248,256,256",248,BF16,117.321,224.858
"km,nk->nm","252,256,256",252,BF16,116.054,227.29
"km,nk->nm","256,256,256",256,BF16,97.9093,223.859
"km,nk->nm","260,256,256",260,BF16,106.577,227.417
"km,nk->nm","264,256,256",264,BF16,108.193,227.516
"km,nk->nm","268,256,256",268,BF16,107.563,227.786
"km,nk->nm","272,256,256",272,BF16,108.371,228.166
"km,nk->nm","276,256,256",276,BF16,106.947,227.883
"km,nk->nm","280,256,256",280,BF16,106.97,226.761
"km,nk->nm","284,256,256",284,BF16,106.739,232.99
"km,nk->nm","288,256,256",288,BF16,107.52,223.957
"km,nk->nm","292,256,256",292,BF16,108.563,231.259
"km,nk->nm","296,256,256",296,BF16,109.107,228.485
"km,nk->nm","300,256,256",300,BF16,111.616,229.143
"km,nk->nm","304,256,256",304,BF16,107.389,234.036
"km,nk->nm","308,256,256",308,BF16,118.854,230.273
"km,nk->nm","312,256,256",312,BF16,106.644,231.526
"km,nk->nm","316,256,256",316,BF16,107.475,231.968
"km,nk->nm","320,256,256",320,BF16,104.41,219.787
"km,nk->nm","324,256,256",324,BF16,110.281,228.595
"km,nk->nm","328,256,256",328,BF16,109.715,231.172
"km,nk->nm","332,256,256",332,BF16,114.68,232.187
"km,nk->nm","336,256,256",336,BF16,116.918,230.971
"km,nk->nm","340,256,256",340,BF16,110.384,228.738
"km,nk->nm","344,256,256",344,BF16,118.743,228.452
"km,nk->nm","348,256,256",348,BF16,121.428,231.401
"km,nk->nm","352,256,256",352,BF16,119.139,229.126
"km,nk->nm","356,256,256",356,BF16,117.541,227.972
"km,nk->nm","360,256,256",360,BF16,114.003,226.926
"km,nk->nm","364,256,256",364,BF16,117.758,226.671
"km,nk->nm","368,256,256",368,BF16,116.679,223.889
"km,nk->nm","372,256,256",372,BF16,116.773,226.202
"km,nk->nm","376,256,256",376,BF16,115.22,223.587
"km,nk->nm","380,256,256",380,BF16,116.378,228.718
"km,nk->nm","384,256,256",384,BF16,114.231,214.086
"km,nk->nm","388,256,256",388,BF16,114.254,228.632
"km,nk->nm","392,256,256",392,BF16,112.556,225.757
"km,nk->nm","396,256,256",396,BF16,113.366,227.081
"km,nk->nm","400,256,256",400,BF16,113.574,225.005
"km,nk->nm","404,256,256",404,BF16,111.145,226.734
"km,nk->nm","408,256,256",408,BF16,114.506,226.82
"km,nk->nm","412,256,256",412,BF16,114.032,227.234
"km,nk->nm","416,256,256",416,BF16,113.984,220.145
"km,nk->nm","420,256,256",420,BF16,115.163,227.53
"km,nk->nm","424,256,256",424,BF16,113.959,226.265
"km,nk->nm","428,256,256",428,BF16,113.574,224.732
"km,nk->nm","432,256,256",432,BF16,109.784,222.044
"km,nk->nm","436,256,256",436,BF16,110.25,226.712
"km,nk->nm","440,256,256",440,BF16,110.861,223.72
"km,nk->nm","444,256,256",444,BF16,111.019,223.22
"km,nk->nm","448,256,256",448,BF16,117.901,209.744
"km,nk->nm","452,256,256",452,BF16,115.165,227.851
"km,nk->nm","456,256,256",456,BF16,112.932,225.525
"km,nk->nm","460,256,256",460,BF16,113.923,225.21
"km,nk->nm","464,256,256",464,BF16,112.633,223.665
"km,nk->nm","468,256,256",468,BF16,115.941,223.463
"km,nk->nm","472,256,256",472,BF16,116.757,224.582
"km,nk->nm","476,256,256",476,BF16,113.865,224.144
"km,nk->nm","480,256,256",480,BF16,129.938,220.933
"km,nk->nm","484,256,256",484,BF16,115.038,224.397
"km,nk->nm","488,256,256",488,BF16,116.041,224.12
"km,nk->nm","492,256,256",492,BF16,115.437,225.796
