einsum_expression,dimensions,max_element_torch,max_element_jit,max_difference,biggest_relative_error
"abdfe,cf->abcde","48,36,24,36,48,36",16.125,16.125,0,0
"acdfe,bf->abcde","48,24,36,36,48,36",15.4375,15.4375,0,0
"abed,ce->abcd","96,84,24,96,96",34.75,34.75,0,0
"abcfe,df->abcde","48,36,36,24,48,48",19.625,19.625,0,0
"aced,be->abcd","96,24,84,96,84",29.75,29.75,0,0
"jki,efghjk->efghi","6,64,6,64,24,6,64",114,114,0,0
"abed,ce->abcd","96,84,24,84,96",34.5,34.5,0,0
"bcgf,adeg->abcdef","24,20,20,24,20,20,24",12.5,12.5,0,0
"bdgf,aceg->abcdef","24,20,20,24,20,20,24",12.5625,12.5625,0,0
"acgf,bdeg->abcdef","24,20,20,24,20,20,24",12.875,12.875,0,0
"abgf,cdeg->abcdef","24,20,20,24,20,20,24",12.75,12.75,0,0
"efhjki,gjk->efghi","6,64,24,4,94,6,64",116.5,116.5,0,0
"bced,ae->abcd","96,84,84,84,96",35.75,35.75,0,0
"aced,be->abcd","96,84,84,84,96",34,34,0,0
"abed,ce->abcd","96,84,84,84,96",37.25,37.25,0,0
"aedc,ebd->abc","96,84,84,84,96",2080,2144,104,0.0492424
"gkiljh,ekilfj->efgh","6,64,4,94,6,64,6,64",32640,8192,24448,0.74902
"gikljh,eiklfj->efgh","6,64,4,94,4,94,6,64",32000,8384,23808,0.744
"efiklj,ghkl->efghij","6,64,4,94,4,94,6,64",120.5,120.5,0,0
"efiklj,ghkl->efghij","6,64,6,64,4,94,4,94",115.5,115.5,0,0
"fihg,dieh->defg","151,48,181,40,151,48",1912,1.59694e+29,1.59694e+29,1
"cefd,aebf->abcd","96,84,84,84,84,96",2112,2128,96,0.0472441
"aefd,becf->abcd","96,84,84,84,96,96",2400,2480,144,0.0604027
"cfed,afbe->abcd","96,84,84,96,20,25",1856,1904,104,0.0570175
